,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wde_expedu,wdi_nerds,Nulos
125,0.35100001,NER,SubSaharian,644.53998,,6.9000000953674325,,,,True
56,0.86299998,EST,EastEurope,19768.039,1.315999984741211,3.5,4.364778518676759,,,False
155,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,3.2999999523162837,5.797279357910156,,,False
110,0.75800002,MEX,LatAm,13609.42,119.7129974365234,5.800000190734862,2.814059019088745,,,False
119,,NRU,Pacific,3130.47,0.0120000001043081,,,,,True
95,0.495,LSO,SubSaharian,1539.79,,7.4000000953674325,4.053547382354736,,,False
60,0.47,DJI,SubSaharian,2685.5,,5.800000190734862,,,,True
98,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,6.4000000953674325,1.874972462654114,,,False
78,0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,6.199999809265138,3.0124309062957764,,,False
99,0.91100001,LIE,WesternDem,102243.52,,,,,,True
140,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,7.0,2.449350833892822,,,False
127,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,1.6000000238418581,5.048264026641847,,,False
63,0.44999999,GMB,SubSaharian,1601.88,,7.699999809265138,4.276580810546875,,,False
173,0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,,,,True
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,,,,True
58,0.89300001,FIN,WesternDem,36958.211,5.427000045776367,2.299999952316284,5.859115123748778,,,False
120,0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,7.0,3.591810703277588,,,False
167,0.90899998,SWE,WesternDem,39000.91,9.645000457763672,1.5,4.577005863189697,,,False
159,,SOM,SubSaharian,1436.74,,9.199999809265137,,,,True
90,0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.5,3.6152341365814213,,,False
164,0.48800001,SDN,SubSaharian,,,8.800000190734863,,,,True
163,0.42100000000000004,SSD,SubSaharian,,,6.9000000953674325,,,,True
3,0.85699999,AND,WesternDem,32367.33,,,,,,True
